City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
Charleston,East,1/1/1982,0:00,6.655,5.087,4.746,2.124,2.036,-0.674,-0.904,-2.374,0
Charleston,East,2/1/1982,0:00,6.215,5.297,4.985,2.377,2.275,-0.435,-0.694,-2.233,0
Charleston,East,3/1/1982,0:00,6.645,5.526,5.244,2.685,2.577,-0.104,-0.304,-1.803,0
Charleston,East,4/1/1982,0:00,6.875,5.395,5.024,2.456,2.347,-0.333,-0.504,-1.603,0
Charleston,East,5/1/1982,0:00,6.737,5.536,5.185,2.616,2.485,-0.215,-0.376,-1.705,0
Charleston,East,6/1/1982,0:00,8.007,5.976,5.517,2.935,2.807,0.097,-0.113,-1.665,0
Charleston,East,7/1/1982,0:00,6.717,5.526,5.126,2.616,2.485,-0.153,-0.363,-1.626,0
Charleston,East,8/1/1982,0:00,6.835,5.635,5.215,2.715,2.597,-0.025,-0.254,-1.524,0
Charleston,East,9/1/1982,0:00,6.494,5.766,5.435,3.007,2.875,0.326,0.175,-0.694,0
Charleston,East,10/1/1982,0:00,6.576,5.976,5.697,3.266,3.125,0.556,0.415,-0.363,0
Charleston,East,11/1/1982,0:00,6.904,6.015,5.654,3.187,3.056,0.454,0.267,-1.554,0
Charleston,East,12/1/1982,0:00,7.255,5.966,5.536,2.954,2.826,0.126,-0.074,-1.773,0
Charleston,East,1/1/1983,0:00,7.367,6.074,5.687,3.105,2.977,0.267,0.057,-0.914,0
Charleston,East,2/1/1983,0:00,7.606,5.815,5.517,3.007,2.895,0.267,0.057,-1.104,0
Charleston,East,3/1/1983,0:00,7.246,5.815,5.566,3.017,2.885,0.195,-0.015,-1.445,0
Charleston,East,4/1/1983,0:00,6.557,5.615,5.297,2.787,2.656,0.015,-0.113,-1.426,0
Charleston,East,5/1/1983,0:00,6.757,5.526,5.136,2.656,2.534,-0.064,-0.195,-1.294,0
Charleston,East,6/1/1983,0:00,7.396,5.874,5.444,3.007,2.866,0.297,0.097,-0.586,0
Charleston,East,7/1/1983,0:00,7.137,5.835,5.415,2.915,2.797,0.175,-0.054,-0.914,0
Charleston,East,8/1/1983,0:00,6.747,5.664,5.287,2.787,2.665,0.057,-0.143,-1.524,0
Charleston,East,9/1/1983,0:00,6.776,6.064,5.707,3.246,3.105,0.507,0.316,-1.153,0
Charleston,East,10/1/1983,0:00,7.295,6.215,5.874,3.436,3.295,0.717,0.595,-0.704,0
Charleston,East,11/1/1983,0:00,7.026,5.825,5.497,2.997,2.866,0.234,0.057,-1.193,0
Charleston,East,12/1/1983,0:00,6.957,5.497,5.067,2.577,2.465,-0.143,-0.415,-2.125,0
Charleston,East,1/1/1984,0:00,7.065,5.746,5.307,2.816,2.715,0.116,-0.153,-2.285,0
Charleston,East,2/1/1984,0:00,6.586,5.267,4.877,2.367,2.285,-0.314,-0.606,-1.813,0
Charleston,East,3/1/1984,0:00,7.505,5.546,5.244,2.725,2.606,-0.035,-0.254,-1.646,0
Charleston,East,4/1/1984,0:00,7.006,5.786,5.395,2.915,2.787,0.185,0.044,-1.304,0
Charleston,East,5/1/1984,0:00,6.816,5.585,5.146,2.636,2.524,-0.084,-0.245,-1.544,0
Charleston,East,6/1/1984,0:00,6.645,5.815,5.336,2.846,2.715,0.097,-0.084,-1.065,0
Charleston,East,7/1/1984,0:00,6.947,5.546,5.067,2.475,2.367,-0.333,-0.533,-1.324,0
Charleston,East,8/1/1984,0:00,7.305,5.654,5.267,2.725,2.606,-0.054,-0.235,-1.075,0
Charleston,East,9/1/1984,0:00,6.816,5.976,5.654,3.217,3.095,0.536,0.326,-0.924,0
Charleston,East,10/1/1984,0:00,7.387,6.225,5.887,3.476,3.354,0.815,0.707,-0.665,0
Charleston,East,11/1/1984,0:00,7.665,6.074,5.697,3.305,3.187,0.677,0.517,-0.825,0
Charleston,East,12/1/1984,0:00,6.806,5.687,5.297,2.885,2.767,0.234,0.067,-1.163,0
Charleston,East,1/1/1985,0:00,6.516,5.346,4.946,2.557,2.426,-0.104,-0.323,-1.684,0
Charleston,East,2/1/1985,0:00,6.896,5.277,4.946,2.436,2.347,-0.264,-0.494,-1.424,0
Charleston,East,3/1/1985,0:00,6.656,5.316,5.005,2.567,2.465,-0.064,-0.264,-1.674,0
Charleston,East,4/1/1985,0:00,6.516,5.297,4.936,2.456,2.357,-0.235,-0.376,-1.844,0
Charleston,East,5/1/1985,0:00,7.306,5.835,5.454,2.967,2.826,0.205,0.057,-1.384,0
Charleston,East,6/1/1985,0:00,6.896,5.677,5.215,2.715,2.577,-0.054,-0.264,-1.204,0
Charleston,East,7/1/1985,0:00,6.816,5.854,5.395,2.885,2.767,0.136,-0.084,-0.924,11
Charleston,East,8/1/1985,0:00,NaN,6.064,5.677,3.236,3.115,0.556,0.385,NaN,11
Charleston,East,9/1/1985,0:00,7.065,6.035,5.756,3.364,3.236,0.717,0.556,0.034,0
Charleston,East,10/1/1985,0:00,7.567,6.337,6.025,3.686,3.555,1.074,0.927,-0.205,0
Charleston,East,11/1/1985,0:00,6.977,5.854,5.425,3.046,2.915,0.405,0.254,-0.914,0
Charleston,East,12/1/1985,0:00,6.557,5.205,4.795,2.377,2.275,-0.254,-0.514,-1.445,0
Charleston,East,1/1/1986,0:00,7.026,5.336,4.877,2.406,2.305,-0.264,-0.504,-1.885,0
Charleston,East,2/1/1986,0:00,6.435,5.477,5.116,2.665,2.544,-0.035,-0.215,-1.445,0
Charleston,East,3/1/1986,0:00,6.527,5.156,4.857,2.396,2.295,-0.264,-0.396,-1.206,0
Charleston,East,4/1/1986,0:00,7.196,5.795,5.405,2.954,2.826,0.244,0.126,-1.124,0
Charleston,East,5/1/1986,0:00,7.095,5.917,5.507,3.085,2.954,0.395,0.267,-1.153,0
Charleston,East,6/1/1986,0:00,7.935,6.025,5.556,3.154,3.017,0.487,0.287,-0.586,0
