City,Region,Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf
San Francisco,West,9/1/1994,0:00,6.004,5.624,5.204,3.084,3.134,1.053,0.264,-0.366,0
San Francisco,West,10/1/1994,0:00,6.654,5.604,5.224,3.084,3.124,1.033,0.174,-0.717,0
San Francisco,West,11/1/1994,0:00,7.134,5.714,5.113,2.934,2.994,0.874,-0.256,-1.666,0
San Francisco,West,12/1/1994,0:00,7.613,6.104,5.334,3.084,3.154,0.984,-0.296,-1.496,0
San Francisco,West,1/1/1995,0:00,7.294,6.613,5.863,3.734,3.794,1.734,0.573,-1.467,0
San Francisco,West,2/1/1995,0:00,6.764,5.954,5.363,3.384,3.424,1.494,0.674,-0.407,0
San Francisco,West,3/1/1995,0:00,6.934,5.964,5.533,3.613,3.664,1.794,1.134,0.343,0
San Francisco,West,4/1/1995,0:00,6.394,5.434,4.984,2.984,3.053,1.124,0.234,-1.116,0
San Francisco,West,5/1/1995,0:00,6.944,5.604,5.033,3.044,3.113,1.204,0.053,-1.316,0
San Francisco,West,6/1/1995,0:00,6.934,5.814,5.104,3.033,3.113,1.113,-0.086,-1.806,0
San Francisco,West,7/1/1995,0:00,7.033,5.974,5.294,3.184,3.234,1.174,0.084,-1.536,0
San Francisco,West,8/1/1995,0:00,7.064,6.014,5.404,3.274,3.294,1.179,0.384,-0.907,0
San Francisco,West,9/1/1995,0:00,6.404,5.884,5.434,3.314,3.334,1.244,0.474,-0.526,0
San Francisco,West,10/1/1995,0:00,6.363,5.674,5.294,3.154,3.194,1.093,0.184,-1.106,0
San Francisco,West,11/1/1995,0:00,6.774,5.714,5.154,2.974,3.014,0.874,-0.217,-1.646,0
San Francisco,West,12/1/1995,0:00,7.204,6.044,5.294,3.134,3.174,1.044,-0.096,-1.677,0
San Francisco,West,1/1/1996,0:00,7.012,5.851,5.139,3.016,3.066,0.992,-0.081,-1.81,0
San Francisco,West,2/1/1996,0:00,7.134,6.084,5.539,3.522,3.6,1.661,0.864,-0.52,0
San Francisco,West,3/1/1996,0:00,6.304,5.559,5.192,3.233,3.289,1.386,0.661,-0.304,0
San Francisco,West,4/1/1996,0:00,6.218,5.27,4.903,2.829,2.884,0.864,0.057,-0.766,0
