City,Region,Date,MHW (ft),MSL (ft),MLW (ft)
Boston,East,5/1/1971,9.736,5.235,0.494
Boston,East,6/1/1971,9.654,5.156,0.425
Boston,East,7/1/1971,9.484,5.015,0.304
Boston,East,8/1/1971,9.444,5.025,0.376
Boston,East,9/1/1971,9.625,5.074,0.294
Boston,East,10/1/1971,9.937,5.304,0.465
Boston,East,11/1/1971,10.055,5.485,0.735
Boston,East,12/1/1971,9.654,5.055,0.265
Boston,East,1/1/1972,9.444,4.894,0.114
Boston,East,2/1/1972,9.595,5.055,0.265
Boston,East,3/1/1972,9.845,5.235,0.396
Boston,East,4/1/1972,9.815,5.265,0.504
Boston,East,5/1/1972,9.795,5.304,0.586
Boston,East,6/1/1972,9.927,5.357,0.566
Boston,East,7/1/1972,9.845,5.215,0.337
Boston,East,8/1/1972,9.727,5.127,0.274
Boston,East,9/1/1972,9.855,5.274,0.495
Boston,East,10/1/1972,9.727,5.127,0.284
Boston,East,11/1/1972,10.055,5.425,0.596
Boston,East,12/1/1972,9.815,5.274,0.534
Boston,East,1/1/1973,9.625,5.147,0.455
Boston,East,2/1/1973,9.746,5.137,0.314
Boston,East,3/1/1973,9.874,5.284,0.475
Boston,East,4/1/1973,10.045,5.324,0.347
Boston,East,5/1/1973,10.065,5.294,0.265
Boston,East,6/1/1973,9.946,5.196,0.186
Boston,East,7/1/1973,10.186,5.347,0.265
Boston,East,8/1/1973,10.094,5.337,0.347
Boston,East,9/1/1973,9.845,5.215,0.396
Boston,East,10/1/1973,9.645,5.137,0.465
Boston,East,11/1/1973,9.605,5.025,0.235
Boston,East,12/1/1973,9.654,5.035,0.215
Boston,East,1/1/1974,9.654,4.996,0.104
Boston,East,2/1/1974,9.707,5.005,0.084
Boston,East,3/1/1974,9.566,4.884,-0.054
Boston,East,4/1/1974,9.815,5.094,0.074
Boston,East,5/1/1974,9.894,5.176,0.196
Boston,East,6/1/1974,9.927,5.206,0.265
Boston,East,7/1/1974,9.894,5.245,0.357
Boston,East,8/1/1974,9.645,5.035,0.196
Boston,East,9/1/1974,9.894,5.245,0.376
Boston,East,10/1/1974,9.454,4.884,0.074
Boston,East,11/1/1974,9.825,5.186,0.324
Boston,East,12/1/1974,9.894,5.104,0.094
Boston,East,1/1/1975,9.674,4.904,-0.083
Boston,East,2/1/1975,9.625,4.956,0.055
Boston,East,3/1/1975,9.795,4.976,-0.083
Boston,East,4/1/1975,9.864,5.127,0.114
Boston,East,5/1/1975,9.795,5.137,0.206
Boston,East,6/1/1975,9.874,5.245,0.376
Boston,East,7/1/1975,9.756,5.147,0.304
Boston,East,8/1/1975,9.835,5.235,0.366
Boston,East,9/1/1975,9.786,5.114,0.215
Boston,East,10/1/1975,10.055,5.324,0.376
Boston,East,11/1/1975,9.986,5.255,0.324
Boston,East,12/1/1975,9.825,5.084,0.156
Boston,East,1/1/1976,9.664,4.966,0.025
Boston,East,2/1/1976,9.654,4.825,-0.244
Boston,East,3/1/1976,9.717,4.966,-0.095
Boston,East,4/1/1976,9.904,5.127,0.094
Boston,East,5/1/1976,9.717,4.976,-0.014
Boston,East,6/1/1976,9.746,4.996,0.005
Boston,East,7/1/1976,10.065,5.225,0.147
Boston,East,8/1/1976,10.005,5.225,0.015
Boston,East,9/1/1976,9.946,5.176,0.166
Boston,East,10/1/1976,9.815,5.084,0.127
Boston,East,11/1/1976,9.684,4.927,-0.034
Boston,East,12/1/1976,9.356,4.615,-0.346
Boston,East,1/1/1977,9.556,4.795,-0.185
Boston,East,2/1/1977,9.674,4.795,-0.316
Boston,East,3/1/1977,9.786,4.917,0.015
Boston,East,4/1/1977,9.674,4.845,-0.244
Boston,East,5/1/1977,10.025,5.166,0.055
Boston,East,6/1/1977,10.206,5.347,0.245
Boston,East,7/1/1977,9.927,5.045,-0.083
Boston,East,8/1/1977,9.904,5.074,0.025
Boston,East,9/1/1977,10.045,5.347,0.425
Boston,East,10/1/1977,9.996,5.294,0.386
Boston,East,11/1/1977,9.835,5.185,0.305
